Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099996	2.699000	26.986000	44.259000	2.225000	43.423000	60.170000	
1.000000	0.099984	2.236000	44.358000	61.747000	2.070000	53.233000	69.327000	
2.000000	0.099965	2.076000	53.030000	68.862000	1.962000	60.255000	70.827000	
3.000000	0.099937	1.996000	57.808000	72.053000	1.869000	69.394000	77.431000	
4.000000	0.099902	1.941000	61.594000	74.664000	1.841000	67.673000	77.512000	
5.000000	0.099859	1.896000	63.500000	76.059000	1.758000	73.052000	81.726000	
6.000000	0.099809	1.863000	65.945000	77.692000	1.847000	70.672000	77.998000	
7.000000	0.099750	1.833000	67.741000	78.965000	1.682000	75.480000	84.846000	
8.000000	0.099684	1.818000	68.202000	79.397000	1.724000	76.848000	84.724000	
9.000000	0.099610	1.798000	69.618000	80.512000	1.650000	78.669000	87.196000	
10.000000	0.099528	1.788000	70.684000	80.873000	1.649000	78.391000	85.494000	
11.000000	0.099438	1.771000	71.801000	81.856000	1.640000	78.535000	86.224000	
12.000000	0.099341	1.766000	72.081000	81.713000	1.634000	80.933000	86.710000	
13.000000	0.099236	1.746000	72.931000	82.507000	1.600000	78.972000	86.588000	
14.000000	0.099123	1.739000	73.942000	82.874000	1.627000	80.124000	87.399000	
15.000000	0.099003	1.731000	74.251000	83.286000	1.601000	82.569000	87.966000	
16.000000	0.098875	1.725000	74.403000	83.199000	1.625000	77.561000	86.548000	
17.000000	0.098739	1.718000	74.956000	83.785000	1.637000	77.998000	86.143000	
18.000000	0.098596	1.714000	75.536000	83.927000	1.595000	79.248000	87.885000	
19.000000	0.098445	1.711000	75.280000	84.065000	1.632000	81.135000	86.183000	
20.000000	0.098286	1.703000	76.090000	84.431000	1.639000	79.428000	85.332000	
21.000000	0.098120	1.704000	76.230000	84.462000	1.602000	81.048000	86.588000	
22.000000	0.097947	1.703000	75.665000	84.156000	1.626000	79.712000	85.900000	
23.000000	0.097766	1.689000	76.836000	84.970000	1.626000	77.710000	85.332000	
24.000000	0.097577	1.684000	77.386000	85.144000	1.579000	81.661000	87.925000	
25.000000	0.097381	1.679000	77.571000	85.210000	1.571000	82.728000	88.614000	
26.000000	0.097178	1.685000	77.017000	84.899000	1.647000	80.193000	85.535000	
27.000000	0.096967	1.673000	77.578000	85.337000	1.575000	85.063000	89.344000	
28.000000	0.096749	1.678000	77.680000	85.383000	1.600000	83.155000	87.034000	
29.000000	0.096524	1.664000	78.278000	85.943000	1.606000	81.173000	88.169000	
30.000000	0.096291	1.667000	77.880000	85.464000	1.594000	80.877000	86.831000	
31.000000	0.096051	1.670000	78.369000	85.581000	1.583000	81.950000	87.520000	
32.000000	0.095804	1.663000	79.078000	86.309000	1.569000	82.560000	88.128000	
33.000000	0.095550	1.660000	78.910000	86.141000	1.610000	82.260000	87.925000	
34.000000	0.095289	1.662000	78.995000	86.156000	1.544000	85.730000	89.951000	
35.000000	0.095021	1.659000	78.999000	86.294000	1.595000	81.398000	88.047000	
36.000000	0.094745	1.652000	78.708000	86.426000	1.558000	83.913000	89.263000	
37.000000	0.094463	1.648000	79.542000	86.767000	1.633000	82.392000	85.737000	
38.000000	0.094173	1.650000	79.327000	86.508000	1.559000	83.636000	89.425000	
39.000000	0.093877	1.644000	80.146000	86.803000	1.561000	83.769000	88.938000	
40.000000	0.093574	1.651000	78.715000	86.075000	1.589000	82.880000	88.169000	
41.000000	0.093264	1.648000	79.965000	86.843000	1.558000	84.101000	88.776000	
42.000000	0.092948	1.646000	79.637000	86.553000	1.567000	83.380000	88.209000	
43.000000	0.092624	1.635000	80.115000	87.098000	1.537000	82.884000	89.870000	
44.000000	0.092294	1.647000	79.476000	86.416000	1.580000	81.190000	87.561000	
45.000000	0.091958	1.631000	80.964000	87.531000	1.591000	82.020000	88.209000	
46.000000	0.091614	1.633000	80.520000	87.128000	1.562000	82.914000	88.938000	
47.000000	0.091265	1.637000	80.271000	87.174000	1.557000	83.717000	89.344000	
48.000000	0.090909	1.640000	80.593000	87.220000	1.542000	83.680000	88.290000	
49.000000	0.090546	1.631000	81.289000	87.439000	1.588000	84.219000	88.493000	
50.000000	0.090178	1.632000	80.737000	87.505000	1.549000	84.455000	89.425000	
51.000000	0.089803	1.621000	81.334000	87.678000	1.541000	83.104000	90.032000	
52.000000	0.089421	1.627000	81.000000	87.617000	1.546000	83.627000	89.587000	
53.000000	0.089034	1.623000	81.222000	87.678000	1.558000	84.606000	88.006000	
54.000000	0.088640	1.616000	81.797000	87.994000	1.571000	83.411000	89.627000	
55.000000	0.088241	1.621000	80.916000	87.637000	1.557000	85.156000	88.857000	
56.000000	0.087835	1.625000	81.001000	87.459000	1.550000	84.439000	89.141000	
57.000000	0.087424	1.619000	81.184000	87.627000	1.574000	84.628000	87.196000	
58.000000	0.087007	1.620000	81.786000	87.902000	1.557000	82.138000	88.250000	
59.000000	0.086584	1.615000	81.756000	88.090000	1.539000	83.068000	88.938000	
60.000000	0.086155	1.613000	82.085000	88.253000	1.534000	86.835000	89.708000	
61.000000	0.085721	1.610000	81.440000	87.968000	1.527000	85.362000	90.316000	
62.000000	0.085281	1.621000	81.648000	87.785000	1.556000	84.617000	88.736000	
63.000000	0.084836	1.608000	82.156000	88.279000	1.565000	83.409000	89.100000	
64.000000	0.084385	1.609000	81.889000	88.126000	1.568000	83.790000	89.344000	
65.000000	0.083929	1.605000	81.959000	88.157000	1.513000	85.038000	90.113000	
66.000000	0.083468	1.615000	82.015000	88.019000	1.612000	81.326000	86.345000	
67.000000	0.083001	1.607000	82.136000	88.253000	1.546000	83.271000	89.019000	
68.000000	0.082529	1.602000	82.257000	88.314000	1.524000	84.152000	89.830000	
69.000000	0.082052	1.605000	82.463000	88.325000	1.530000	84.003000	89.506000	
70.000000	0.081571	1.603000	82.217000	88.355000	1.529000	83.525000	89.263000	
71.000000	0.081084	1.599000	82.647000	88.721000	1.583000	81.867000	88.006000	
72.000000	0.080593	1.603000	83.170000	88.742000	1.500000	85.356000	90.357000	
73.000000	0.080096	1.598000	82.707000	88.650000	1.583000	83.526000	86.994000	
74.000000	0.079595	1.599000	82.728000	88.650000	1.541000	85.469000	90.559000	
