Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.453000	18.907000	24.631000	2.427000	17.742000	23.580000	
1.000000	0.009999	2.307000	25.201000	32.856000	2.262000	28.989000	37.522000	
2.000000	0.009998	2.191000	29.793000	38.715000	2.241000	32.018000	39.759000	
3.000000	0.009996	2.103000	34.438000	43.945000	2.068000	38.251000	46.127000	
4.000000	0.009993	2.060000	35.427000	45.833000	1.888000	48.927000	58.520000	
5.000000	0.009990	2.019000	38.909000	48.937000	1.865000	50.426000	60.241000	
6.000000	0.009987	1.940000	42.935000	53.776000	1.828000	46.640000	58.348000	
7.000000	0.009983	1.919000	44.280000	54.709000	1.798000	53.737000	63.167000	
8.000000	0.009978	1.884000	46.471000	56.619000	1.710000	56.684000	67.298000	
9.000000	0.009973	1.853000	48.726000	58.789000	1.724000	55.473000	66.265000	
10.000000	0.009967	1.851000	49.439000	59.158000	1.682000	58.671000	67.814000	
11.000000	0.009961	1.786000	53.221000	63.043000	1.628000	63.152000	71.601000	
12.000000	0.009954	1.781000	53.965000	62.587000	1.675000	59.732000	69.363000	
13.000000	0.009947	1.765000	55.461000	63.824000	1.673000	63.327000	71.601000	
14.000000	0.009939	1.737000	58.073000	65.799000	1.739000	59.812000	65.749000	
15.000000	0.009931	1.718000	57.943000	66.102000	1.606000	66.864000	72.806000	
16.000000	0.009922	1.712000	59.461000	66.688000	1.591000	70.439000	75.043000	
17.000000	0.009912	1.700000	60.708000	67.491000	1.700000	60.183000	68.675000	
18.000000	0.009902	1.685000	60.522000	68.077000	1.593000	64.798000	72.289000	
19.000000	0.009892	1.662000	64.780000	70.378000	1.590000	65.709000	72.117000	
20.000000	0.009881	1.650000	62.952000	69.900000	1.536000	72.813000	77.281000	
21.000000	0.009869	1.639000	65.532000	71.137000	1.551000	71.778000	76.420000	
22.000000	0.009857	1.648000	64.354000	70.855000	1.572000	69.195000	74.527000	
23.000000	0.009844	1.629000	65.889000	71.571000	1.525000	73.236000	78.830000	
24.000000	0.009831	1.613000	66.480000	72.222000	1.511000	76.478000	79.862000	
25.000000	0.009818	1.613000	67.741000	73.003000	1.588000	70.434000	76.420000	
26.000000	0.009803	1.598000	68.199000	73.438000	1.500000	74.685000	80.034000	
27.000000	0.009789	1.600000	68.159000	73.177000	1.506000	71.803000	77.625000	
28.000000	0.009773	1.578000	70.519000	75.000000	1.504000	74.943000	78.830000	
29.000000	0.009758	1.567000	70.107000	75.326000	1.489000	77.037000	80.207000	
30.000000	0.009741	1.562000	70.496000	75.347000	1.435000	79.609000	83.133000	
31.000000	0.009725	1.579000	70.467000	74.436000	1.491000	75.177000	80.379000	
32.000000	0.009707	1.570000	70.036000	75.260000	1.497000	76.672000	80.207000	
33.000000	0.009690	1.555000	71.822000	76.107000	1.516000	74.314000	79.690000	
34.000000	0.009671	1.543000	72.696000	76.606000	1.483000	74.922000	78.830000	
35.000000	0.009652	1.518000	74.047000	78.060000	1.428000	79.487000	82.788000	
36.000000	0.009633	1.552000	72.584000	75.998000	1.437000	79.855000	82.960000	
37.000000	0.009613	1.544000	71.676000	76.128000	1.460000	80.782000	82.272000	
38.000000	0.009593	1.537000	73.910000	77.626000	1.483000	72.638000	79.518000	
39.000000	0.009572	1.548000	71.220000	75.543000	1.476000	74.909000	80.551000	
40.000000	0.009551	1.515000	74.361000	78.516000	1.412000	82.797000	85.026000	
41.000000	0.009529	1.524000	74.400000	78.255000	1.460000	79.528000	81.583000	
42.000000	0.009507	1.505000	75.326000	78.993000	1.457000	78.422000	81.411000	
43.000000	0.009484	1.493000	75.903000	79.753000	1.488000	74.034000	79.690000	
44.000000	0.009460	1.489000	76.298000	79.709000	1.443000	79.061000	82.444000	
45.000000	0.009437	1.494000	75.993000	78.993000	1.430000	80.840000	83.993000	
46.000000	0.009412	1.487000	76.642000	80.447000	1.429000	77.955000	82.444000	
47.000000	0.009388	1.478000	77.307000	80.273000	1.439000	79.245000	81.928000	
48.000000	0.009363	1.475000	76.233000	79.948000	1.444000	79.927000	82.616000	
49.000000	0.009337	1.477000	76.443000	79.557000	1.421000	82.540000	84.509000	
50.000000	0.009311	1.481000	76.815000	80.056000	1.404000	82.017000	84.337000	
51.000000	0.009284	1.481000	76.394000	79.601000	1.421000	80.107000	83.477000	
52.000000	0.009257	1.477000	76.966000	80.252000	1.477000	73.756000	78.830000	
53.000000	0.009229	1.460000	78.131000	81.489000	1.403000	82.424000	85.026000	
54.000000	0.009201	1.455000	79.192000	81.510000	1.441000	79.139000	81.583000	
55.000000	0.009173	1.460000	78.767000	81.510000	1.421000	78.237000	81.928000	
56.000000	0.009144	1.445000	79.235000	81.879000	1.413000	80.805000	84.337000	
57.000000	0.009115	1.443000	79.253000	82.487000	1.382000	84.552000	86.059000	
58.000000	0.009085	1.473000	76.262000	79.492000	1.437000	80.103000	81.756000	
59.000000	0.009055	1.454000	79.554000	81.836000	1.396000	80.177000	83.649000	
60.000000	0.009024	1.446000	79.993000	82.574000	1.383000	81.467000	84.509000	
61.000000	0.008993	1.447000	78.684000	81.836000	1.398000	79.870000	83.133000	
62.000000	0.008961	1.442000	78.904000	82.205000	1.375000	84.296000	86.747000	
63.000000	0.008929	1.460000	79.019000	81.402000	1.435000	76.929000	81.239000	
64.000000	0.008897	1.424000	81.077000	83.420000	1.428000	78.084000	81.239000	
65.000000	0.008864	1.434000	80.031000	82.248000	1.393000	84.798000	85.542000	
66.000000	0.008831	1.431000	80.816000	82.704000	1.405000	79.973000	83.993000	
67.000000	0.008797	1.434000	80.896000	83.442000	1.377000	84.635000	85.542000	
68.000000	0.008763	1.414000	81.730000	83.854000	1.399000	79.428000	82.960000	
69.000000	0.008729	1.440000	79.545000	82.183000	1.428000	76.310000	81.583000	
70.000000	0.008694	1.425000	81.596000	83.984000	1.374000	83.348000	85.198000	
