Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.461000	17.638000	23.134000	2.321000	23.024000	30.293000	
1.000000	0.009999	2.323000	23.032000	30.230000	2.099000	33.381000	42.341000	
2.000000	0.009998	2.168000	30.823000	38.845000	1.983000	41.339000	49.225000	
3.000000	0.009996	2.100000	34.784000	43.403000	1.859000	46.795000	56.627000	
4.000000	0.009993	2.039000	37.260000	46.788000	1.840000	46.355000	57.143000	
5.000000	0.009990	2.026000	37.417000	46.745000	1.841000	46.298000	57.143000	
6.000000	0.009987	1.978000	41.247000	50.521000	1.810000	50.760000	60.069000	
7.000000	0.009983	1.940000	42.702000	52.843000	1.704000	54.759000	65.921000	
8.000000	0.009978	1.918000	43.544000	53.190000	1.728000	57.043000	65.404000	
9.000000	0.009973	1.887000	46.407000	55.990000	1.637000	59.095000	67.642000	
10.000000	0.009967	1.859000	48.515000	57.574000	1.653000	65.550000	70.052000	
11.000000	0.009961	1.824000	51.146000	59.831000	1.649000	58.852000	67.126000	
12.000000	0.009954	1.809000	52.258000	60.265000	1.612000	65.226000	70.052000	
13.000000	0.009947	1.804000	54.456000	61.654000	1.576000	70.465000	75.043000	
14.000000	0.009939	1.781000	55.981000	62.587000	1.578000	64.623000	70.396000	
15.000000	0.009931	1.786000	55.427000	62.261000	1.599000	67.826000	72.806000	
16.000000	0.009922	1.739000	58.425000	65.321000	1.585000	68.999000	74.182000	
17.000000	0.009912	1.740000	59.123000	64.800000	1.534000	69.347000	76.076000	
18.000000	0.009902	1.723000	59.271000	65.039000	1.571000	68.785000	72.806000	
19.000000	0.009892	1.689000	60.959000	67.166000	1.482000	70.591000	77.281000	
20.000000	0.009881	1.700000	61.973000	66.949000	1.468000	74.872000	78.830000	
21.000000	0.009869	1.700000	60.960000	67.209000	1.498000	73.921000	78.141000	
22.000000	0.009857	1.664000	64.311000	69.575000	1.503000	77.001000	79.346000	
23.000000	0.009844	1.675000	62.805000	67.990000	1.491000	71.482000	76.592000	
24.000000	0.009831	1.624000	66.392000	70.790000	1.459000	78.008000	80.551000	
25.000000	0.009818	1.644000	65.112000	70.009000	1.468000	74.216000	79.518000	
26.000000	0.009803	1.647000	65.242000	69.857000	1.470000	72.746000	77.797000	
27.000000	0.009789	1.641000	64.963000	69.987000	1.459000	79.090000	82.616000	
28.000000	0.009773	1.609000	66.930000	71.115000	1.407000	81.331000	83.821000	
29.000000	0.009758	1.589000	68.778000	72.721000	1.448000	76.285000	80.379000	
30.000000	0.009741	1.590000	68.245000	72.721000	1.418000	78.124000	82.788000	
31.000000	0.009725	1.602000	68.764000	72.613000	1.441000	77.374000	79.862000	
32.000000	0.009707	1.618000	66.484000	71.115000	1.455000	77.077000	80.034000	
33.000000	0.009690	1.587000	69.409000	73.329000	1.429000	76.280000	80.551000	
34.000000	0.009671	1.602000	68.752000	72.700000	1.406000	80.605000	83.133000	
35.000000	0.009652	1.565000	70.050000	74.067000	1.384000	81.251000	83.821000	
36.000000	0.009633	1.566000	70.218000	74.436000	1.430000	81.462000	82.960000	
37.000000	0.009613	1.574000	69.634000	74.002000	1.416000	79.757000	82.788000	
38.000000	0.009593	1.569000	70.550000	74.154000	1.391000	80.827000	83.649000	
39.000000	0.009572	1.563000	70.162000	74.132000	1.438000	79.990000	81.756000	
40.000000	0.009551	1.553000	70.958000	74.935000	1.406000	79.801000	81.928000	
41.000000	0.009529	1.539000	72.281000	75.803000	1.374000	82.154000	84.509000	
42.000000	0.009507	1.546000	71.293000	74.805000	1.402000	82.056000	83.993000	
43.000000	0.009484	1.544000	72.416000	75.391000	1.361000	83.416000	86.059000	
44.000000	0.009460	1.558000	71.253000	74.653000	1.371000	83.096000	85.370000	
45.000000	0.009437	1.530000	72.917000	76.541000	1.417000	81.148000	82.616000	
46.000000	0.009412	1.520000	73.192000	76.497000	1.379000	81.124000	83.133000	
47.000000	0.009388	1.520000	72.746000	76.237000	1.365000	81.457000	83.993000	
48.000000	0.009363	1.522000	73.581000	76.931000	1.419000	80.629000	82.272000	
49.000000	0.009337	1.528000	72.372000	76.128000	1.360000	81.522000	83.649000	
50.000000	0.009311	1.498000	74.315000	78.060000	1.379000	82.743000	85.198000	
51.000000	0.009284	1.493000	74.642000	78.082000	1.397000	82.098000	83.821000	
52.000000	0.009257	1.522000	72.662000	76.020000	1.387000	81.369000	83.821000	
53.000000	0.009229	1.500000	74.348000	78.060000	1.367000	82.101000	83.821000	
54.000000	0.009201	1.492000	74.958000	78.581000	1.369000	82.005000	85.026000	
55.000000	0.009173	1.488000	76.118000	79.058000	1.351000	83.321000	85.370000	
56.000000	0.009144	1.497000	75.206000	78.364000	1.350000	82.103000	84.509000	
57.000000	0.009115	1.460000	76.554000	79.340000	1.357000	83.440000	85.542000	
58.000000	0.009085	1.503000	74.725000	77.865000	1.352000	83.765000	86.059000	
59.000000	0.009055	1.502000	74.052000	77.452000	1.412000	78.559000	80.895000	
